,Year,State,Deceased Donors,Living Donors,Total Transplants,Kidney Transplants,Liver Transplants,Heart Transplants,Lung Transplants,Women Donors,Men Donors,Transgender Donors,Organ Donation Rate (pmp),People Pledged (NOTTO),Online Pledges (Tamil Nadu)
649,2023,Gujarat,20,904,951,173,390,33,44,564,663,2,0.99,4007,17218
650,2020,Gujarat,253,897,1109,73,367,24,43,520,82,4,0.95,116292,6275
651,2022,Rajasthan,221,925,1040,667,2,35,37,246,74,0,1.15,416345,12119
652,2022,Maharashtra,15,112,935,252,322,43,3,163,54,2,1.43,144460,16304
653,2024,Kerala,39,838,1153,611,154,32,12,446,489,3,1.04,4844,18183
654,2020,Uttar Pradesh,215,638,966,395,267,15,36,471,294,1,1.52,358362,14405
655,2024,Delhi,217,187,656,188,367,29,11,42,491,3,1.73,259113,14095
656,2021,Rajasthan,45,400,1151,155,316,35,5,55,479,3,1.17,409661,1994
657,2022,Karnataka,102,73,750,522,311,5,49,341,378,0,1.36,242516,14252
658,2020,Punjab,46,750,130,186,301,30,32,78,601,1,1.26,203322,2534
659,2023,Tamil Nadu,252,22,1048,20,343,42,44,462,323,5,0.11,233865,2640
660,2020,Punjab,45,517,1008,610,354,17,27,626,24,2,1.82,149388,15100
661,2021,Rajasthan,147,565,64,311,314,41,20,118,215,1,0.62,445232,10375
662,2020,Maharashtra,242,739,528,533,61,20,28,14,285,1,0.79,114133,49
663,2020,Telangana,281,727,1050,299,307,50,34,209,664,5,1.55,118036,3855
664,2021,Delhi,146,383,633,231,38,34,2,459,238,1,1.53,246485,19516
665,2021,Telangana,141,245,586,394,272,48,6,374,362,3,0.98,27569,11829
666,2024,Uttar Pradesh,275,900,207,234,104,15,3,621,562,4,0.69,100324,4074
667,2023,Delhi,28,137,1057,196,238,25,34,485,534,0,0.59,351864,18756
668,2020,Uttar Pradesh,246,192,1140,377,385,38,9,150,222,2,0.97,366165,7139
669,2020,Maharashtra,273,329,563,6,45,28,18,502,133,4,1.51,204239,2873
670,2024,Gujarat,178,822,968,243,319,38,31,361,1,2,1.84,278264,13896
671,2020,Maharashtra,261,415,1164,391,343,45,26,387,578,0,0.53,435479,12152
672,2023,Maharashtra,0,137,561,479,300,47,18,499,389,3,1.54,77738,3269
673,2021,Kerala,44,26,665,421,259,15,0,248,135,0,1.47,244948,18468
674,2020,Telangana,204,206,1179,260,395,17,36,420,468,3,1.81,240889,158
675,2022,Punjab,265,360,1132,422,105,3,31,260,492,2,0.75,48881,9774
676,2023,Gujarat,124,516,660,786,71,19,35,11,374,5,1.1,97207,12845
677,2021,Gujarat,134,876,138,284,20,10,40,13,649,4,0.92,185853,9197
678,2022,Gujarat,223,622,416,691,216,2,43,503,105,0,0.78,18324,7295
679,2020,Maharashtra,65,835,614,58,165,42,24,467,687,4,1.95,47713,19218
680,2024,Punjab,67,343,716,126,353,33,7,597,129,1,1.46,35153,14731
681,2023,Gujarat,80,71,434,65,87,36,27,301,52,2,0.82,263026,5577
682,2023,Karnataka,99,806,296,76,224,35,19,145,47,0,0.24,11271,11949
683,2020,Maharashtra,112,950,208,260,181,2,30,490,288,3,1.77,378198,1940
684,2022,Rajasthan,108,755,129,200,307,44,39,660,639,0,1.65,309174,15862
685,2021,Rajasthan,224,242,1128,623,337,9,45,203,28,5,0.26,386365,2593
686,2021,Uttar Pradesh,3,207,1158,88,6,46,11,406,258,2,1.62,237198,3286
687,2024,Punjab,146,288,242,231,389,6,48,35,317,3,1.28,354964,1657
688,2020,Telangana,43,992,1072,624,298,3,40,59,508,0,1.3,198770,11962
689,2020,Punjab,283,807,174,251,84,31,44,216,139,1,0.35,63952,18137
690,2022,Karnataka,174,708,217,524,269,32,44,86,558,3,0.46,279751,14423
691,2022,Telangana,286,110,302,496,57,44,25,497,697,0,0.59,446132,4740
692,2022,Delhi,148,158,894,796,237,3,45,197,226,4,0.7,147438,6925
693,2024,Telangana,241,651,1175,95,241,34,46,573,224,4,1.75,48676,9981
694,2022,Delhi,95,189,247,644,13,34,38,363,662,3,1.18,94263,15620
695,2023,Punjab,280,533,35,527,44,8,36,308,64,2,1.05,429901,6944
696,2022,Gujarat,267,835,870,491,38,24,42,267,345,4,0.36,448698,15739
697,2020,Telangana,272,380,927,624,330,14,28,605,700,4,1.42,276456,15001
698,2023,Telangana,136,242,918,250,77,11,7,292,453,3,0.68,299588,17885
699,2021,Telangana,55,31,655,16,7,35,32,663,223,1,1.76,310263,6331
700,2021,Maharashtra,85,636,524,740,245,29,16,187,480,0,0.7,276793,18730
701,2022,Karnataka,141,524,159,261,354,31,13,627,435,2,1.07,374911,17126
702,2020,Uttar Pradesh,186,516,717,185,147,20,43,253,348,5,0.51,381901,17871
703,2020,Maharashtra,90,841,203,533,206,25,40,623,163,1,0.77,76640,7728
704,2022,Uttar Pradesh,295,256,1139,660,357,22,21,23,350,1,0.42,356953,9613
705,2020,Uttar Pradesh,157,882,751,430,336,42,27,54,509,2,1.2,97304,10729
706,2023,Rajasthan,293,244,294,760,287,22,29,527,640,5,1.45,6448,3778
707,2020,Kerala,238,864,131,67,236,23,33,594,633,0,0.91,10013,14441
708,2023,Uttar Pradesh,124,406,73,502,297,27,26,50,146,3,0.61,396694,10145
709,2021,Gujarat,201,528,793,119,253,48,3,411,245,1,1.1,156451,19962
710,2021,Karnataka,82,74,1138,620,363,43,10,34,14,4,0.2,467454,3051
711,2022,Rajasthan,107,869,914,9,139,43,31,327,256,2,0.56,207782,80
712,2024,Tamil Nadu,121,991,565,789,40,0,0,250,75,2,0.74,163452,12881
713,2024,Uttar Pradesh,182,747,818,182,103,39,34,301,638,4,1.76,310580,6327
714,2020,Uttar Pradesh,54,632,222,16,371,18,38,437,34,2,1.29,345040,18111
715,2024,Maharashtra,31,273,1042,490,112,41,35,427,608,4,0.19,481998,9049
716,2020,Kerala,95,214,1028,14,212,24,48,297,455,1,1.33,230179,3911
717,2024,Delhi,194,175,195,546,34,49,34,344,193,4,0.63,250710,15429
718,2023,Kerala,142,686,165,768,263,38,47,409,416,4,1.78,394471,1796
719,2021,Punjab,251,160,339,93,301,25,24,673,477,1,1.79,186317,14165
720,2022,Gujarat,221,147,1060,257,369,27,15,63,301,4,0.18,428034,18914
721,2023,Telangana,175,782,878,58,268,47,34,303,236,1,0.49,352855,2203
722,2021,Maharashtra,10,605,731,170,359,30,33,36,698,1,1.74,30166,6631
723,2023,Kerala,246,533,230,719,103,26,47,31,642,4,0.98,375079,8237
724,2024,Tamil Nadu,31,566,1053,100,353,37,3,376,668,0,1.67,7894,2150
725,2024,Telangana,285,926,236,212,156,49,43,348,303,5,0.61,394629,18628
726,2024,Kerala,136,439,1174,368,53,16,14,648,255,3,1.15,489071,9166
727,2023,Tamil Nadu,55,253,435,555,373,12,22,460,562,5,1.76,237507,7854
728,2020,Kerala,231,645,465,225,400,38,26,646,357,3,1.44,461279,2075
729,2021,Punjab,194,376,817,175,2,46,25,35,428,4,0.2,169175,7341
730,2022,Uttar Pradesh,85,241,474,351,210,12,43,339,257,2,1.14,392037,6336
731,2023,Rajasthan,115,399,1058,365,326,21,5,169,256,3,0.56,485165,1804
732,2023,Maharashtra,18,611,703,187,207,5,41,69,677,2,0.99,24163,17690
733,2023,Gujarat,115,150,959,668,229,41,40,348,373,2,1.53,111615,273
734,2021,Rajasthan,141,584,230,166,25,31,43,236,406,2,1.22,470886,13735
735,2021,Punjab,275,44,194,390,111,3,19,152,635,0,0.41,405395,11918
736,2024,Kerala,4,683,694,675,16,34,30,233,456,4,0.58,1744,10004
737,2022,Punjab,240,153,391,60,100,39,50,119,277,2,1.38,142121,6041
738,2024,Telangana,269,994,856,521,283,29,10,155,693,1,1.04,211470,16164
739,2021,Tamil Nadu,291,4,776,258,81,7,27,527,72,0,0.43,393498,4337
740,2024,Gujarat,233,703,500,785,35,24,34,494,67,4,1.61,8508,9398
741,2021,Delhi,225,569,1172,410,59,47,24,532,591,5,1.8,472514,18388
742,2020,Delhi,27,607,516,684,339,21,40,590,169,4,0.35,12935,2335
743,2024,Uttar Pradesh,259,660,271,82,376,20,3,269,417,1,0.41,106780,8660
744,2021,Kerala,213,869,419,363,49,34,47,542,239,4,1.82,407682,12735
745,2023,Tamil Nadu,289,793,1190,398,67,40,44,305,542,3,0.51,12029,13472
746,2021,Gujarat,212,455,287,54,220,27,13,40,103,5,0.98,200428,4670
747,2020,Uttar Pradesh,177,507,700,340,353,27,34,316,498,2,0.61,230865,2342
748,2023,Uttar Pradesh,1,520,236,791,363,14,42,286,652,5,1.86,202861,15282
749,2023,Uttar Pradesh,57,2,12,799,69,3,5,110,648,4,1.79,251152,711
750,2022,Telangana,23,11,1177,730,324,45,20,69,219,4,1.5,244096,13946
751,2024,Telangana,275,207,1020,151,41,4,13,112,560,4,1.84,399471,13920
752,2021,Telangana,197,472,586,595,106,0,0,210,696,0,1.29,134178,5932
753,2022,Punjab,214,434,1053,582,271,10,50,523,169,4,1.97,403664,14434
754,2020,Delhi,95,507,104,658,30,16,16,670,491,0,0.82,470649,6009
755,2020,Telangana,218,856,668,247,44,17,11,410,302,5,1.55,57401,133
756,2020,Karnataka,184,630,127,46,232,4,34,24,252,2,0.65,269343,19889
757,2022,Telangana,171,700,337,545,343,20,6,165,545,4,1.68,322843,16210
758,2024,Tamil Nadu,51,513,315,632,262,38,30,104,570,2,1.48,155687,3840
759,2024,Delhi,141,785,812,269,39,24,28,30,304,2,0.66,161893,89
760,2024,Uttar Pradesh,18,395,353,330,212,50,11,195,664,5,0.83,216173,10626
761,2023,Uttar Pradesh,233,950,155,682,391,4,31,386,192,1,0.96,215518,17025
762,2022,Kerala,168,466,796,388,359,21,19,145,442,3,1.85,145885,5782
763,2023,Tamil Nadu,199,380,18,148,35,3,40,383,535,2,1.5,118104,2657
764,2021,Kerala,300,836,1086,391,318,11,2,526,225,3,1.61,337731,3740
765,2022,Maharashtra,64,887,966,145,126,10,0,528,193,0,1.14,274696,19756
766,2023,Telangana,273,353,722,484,85,47,13,531,280,5,0.76,118938,13187
767,2020,Karnataka,124,461,592,460,219,9,41,29,501,5,1.93,176624,14538
768,2024,Punjab,262,925,146,85,298,9,28,432,169,4,1.76,418263,16330
769,2023,Kerala,202,333,355,130,358,23,9,384,516,2,0.76,137259,2907
770,2024,Tamil Nadu,50,50,367,38,302,7,28,329,414,0,1.55,493467,2872
771,2020,Karnataka,135,383,1115,210,248,43,3,553,623,3,0.7,452513,17953
772,2020,Telangana,81,661,670,783,24,38,44,70,263,4,1.66,319578,5999
773,2022,Rajasthan,253,125,193,387,180,47,28,441,270,1,0.28,477423,7960
774,2022,Tamil Nadu,167,405,101,275,219,20,40,377,642,5,1.9,116972,15041
775,2023,Tamil Nadu,211,393,1177,585,195,38,20,450,607,0,0.7,351644,12877
776,2021,Karnataka,286,473,82,243,178,39,18,674,27,1,1.12,428732,3683
777,2020,Gujarat,300,524,1085,145,100,17,26,305,693,1,0.32,183965,8007
778,2022,Maharashtra,37,220,1033,422,200,8,4,270,431,5,1.98,303664,394
779,2024,Tamil Nadu,201,489,643,119,242,20,50,234,126,4,1.86,477129,18936
780,2024,Punjab,272,490,1003,621,372,43,9,471,280,4,0.46,186373,5318
781,2020,Gujarat,177,630,785,6,68,38,19,327,421,2,0.28,100377,14989
782,2021,Karnataka,74,539,947,334,54,8,37,286,16,1,1.53,398496,16455
783,2024,Uttar Pradesh,121,587,456,99,331,40,37,414,593,5,1.28,165645,388
784,2020,Telangana,52,63,609,256,22,25,30,652,361,5,1.09,52628,8156
785,2020,Tamil Nadu,19,505,663,84,59,49,48,114,475,4,1.29,33055,4736
786,2020,Karnataka,254,776,889,535,89,35,49,225,68,0,0.3,111860,9719
787,2023,Rajasthan,61,648,18,702,172,5,13,155,63,1,1.58,366852,1953
788,2023,Delhi,270,127,584,729,365,31,45,448,587,1,1.48,166320,19484
789,2024,Punjab,95,867,262,53,9,38,44,415,483,0,0.6,415966,4163
790,2024,Karnataka,61,765,770,679,114,16,12,437,351,4,1.48,31973,2149
791,2020,Karnataka,299,874,676,193,369,41,30,638,593,5,1.34,168609,6906
792,2020,Punjab,229,429,360,181,338,12,30,518,159,0,1.99,171098,19017
793,2023,Gujarat,222,673,93,334,341,27,10,671,477,2,0.3,364019,13816
794,2022,Maharashtra,284,260,832,418,45,30,48,652,412,1,0.28,190530,9819
795,2020,Maharashtra,143,668,645,763,316,45,17,456,301,0,1.43,236751,17985
796,2023,Punjab,140,119,617,246,384,38,10,295,80,4,1.5,428384,6790
797,2021,Delhi,82,292,401,651,345,5,14,277,43,1,1.12,352678,8393
798,2024,Punjab,116,765,962,135,128,36,11,623,79,5,0.55,456071,510
799,2024,Gujarat,206,304,1043,384,327,21,35,531,156,1,0.83,242309,4600
800,2022,Uttar Pradesh,99,32,214,88,260,47,35,518,589,4,0.68,48705,1937
801,2021,Uttar Pradesh,32,118,1132,694,134,48,37,185,70,0,1.85,207655,17548
802,2023,Punjab,257,925,839,294,295,29,36,553,611,1,1.07,11317,4794
803,2020,Punjab,69,45,40,283,148,6,38,371,242,4,1.78,33483,2934
804,2024,Kerala,65,995,937,456,51,27,3,626,314,4,1.91,278785,5583
805,2023,Tamil Nadu,202,29,1109,563,81,49,47,585,332,3,1.06,387765,5760
806,2022,Delhi,6,368,405,726,288,21,6,80,602,0,0.89,265094,5540
807,2023,Maharashtra,261,699,969,172,161,14,35,290,102,2,1.5,74637,19646
808,2020,Tamil Nadu,18,301,1038,108,154,23,11,669,481,1,0.88,32800,17655
809,2024,Gujarat,297,766,147,67,317,25,9,562,191,0,0.27,233073,7874
810,2023,Punjab,51,43,1199,272,389,22,36,554,647,1,1.7,153273,4102
811,2020,Kerala,220,847,650,775,127,18,21,390,662,5,0.74,80190,13971
812,2020,Gujarat,116,952,277,16,387,35,29,265,498,1,0.17,420306,1530
813,2021,Maharashtra,249,892,425,653,167,8,47,604,21,3,1.03,319828,5885
814,2020,Uttar Pradesh,53,150,928,9,13,11,36,156,684,1,1.51,402900,16543
815,2022,Punjab,223,542,585,340,219,9,41,310,469,0,0.8,255582,648
816,2021,Delhi,232,689,1192,795,126,16,6,601,271,0,0.76,382096,1740
817,2024,Maharashtra,206,280,728,28,267,39,48,154,621,0,1.76,116412,3240
818,2020,Uttar Pradesh,151,75,725,618,56,1,1,592,62,5,1.42,424535,16766
819,2020,Rajasthan,74,855,30,425,286,13,18,534,296,3,0.61,239136,14530
820,2024,Maharashtra,270,105,1115,145,268,23,45,78,337,2,0.18,492899,9951
821,2021,Punjab,104,756,659,482,75,13,15,684,94,5,1.44,389214,7326
822,2022,Gujarat,38,789,437,62,201,15,38,661,493,0,1.67,418805,2772
823,2021,Uttar Pradesh,183,117,1180,583,57,0,31,527,290,5,1.53,462377,2759
824,2023,Karnataka,153,389,452,337,223,10,24,422,593,5,1.37,93513,13103
825,2024,Gujarat,20,752,598,483,90,26,43,611,219,5,1.59,198889,19996
826,2022,Delhi,105,7,384,570,287,9,35,301,30,4,0.31,365109,13705
827,2022,Tamil Nadu,172,16,263,520,124,34,11,363,169,3,1.57,42742,16091
828,2024,Karnataka,180,438,996,254,369,1,6,100,171,0,1.35,478614,7683
829,2022,Kerala,294,697,1066,137,347,48,39,74,53,3,0.74,121779,6205
830,2022,Gujarat,256,469,78,697,42,43,43,84,316,4,1.41,360166,12827
831,2021,Karnataka,88,209,654,195,128,15,42,133,116,3,0.94,391806,3899
832,2020,Punjab,272,925,589,586,68,45,40,259,431,3,1.2,7182,10597
833,2024,Uttar Pradesh,280,932,917,86,350,5,30,14,459,5,1.81,287191,2956
834,2020,Punjab,72,408,890,592,276,40,9,72,274,3,1.12,390830,6204
835,2023,Tamil Nadu,146,3,1049,408,3,17,11,149,662,4,0.67,133226,19121
836,2024,Gujarat,146,521,791,693,1,23,28,94,247,5,0.36,460530,6119
837,2024,Maharashtra,105,410,67,658,47,8,12,248,41,2,1.01,163748,14202
838,2022,Karnataka,116,411,332,13,268,30,13,307,158,3,0.78,305156,6737
839,2024,Kerala,12,17,1092,96,224,12,30,662,24,1,0.86,307776,19337
840,2023,Punjab,34,4,603,152,33,16,16,628,430,4,1.54,198217,9451
841,2022,Punjab,256,477,1100,764,348,40,41,268,98,2,1.36,386491,8286
842,2024,Telangana,81,982,36,364,383,33,35,308,163,2,1.46,349656,8315
843,2022,Tamil Nadu,16,913,684,32,234,3,32,321,197,5,1.38,95452,590
844,2021,Punjab,256,750,331,789,356,38,5,182,164,5,1.54,5486,1255
845,2023,Karnataka,111,98,689,514,332,35,21,627,340,3,0.35,32673,14352
846,2024,Telangana,129,305,953,221,81,15,1,399,661,4,1.62,300412,16041
847,2020,Delhi,13,828,91,165,361,11,31,395,180,0,1.94,94060,16558
848,2022,Delhi,143,721,99,17,114,26,22,482,180,3,1.33,404250,9511
849,2021,Karnataka,4,782,273,773,142,20,32,402,421,1,0.54,295546,15192
850,2021,Punjab,147,68,62,552,124,13,28,404,590,4,1.94,84576,4129
851,2024,Maharashtra,163,451,9,414,265,13,33,609,493,2,1.02,137885,11125
852,2024,Maharashtra,252,137,77,174,29,47,15,187,417,0,0.25,90109,12958
853,2021,Maharashtra,214,105,1135,654,340,32,25,656,45,1,1.59,19187,16500
854,2023,Karnataka,26,575,680,577,118,16,27,280,678,4,1.39,234234,789
855,2022,Uttar Pradesh,128,30,923,577,194,22,11,554,431,1,0.31,154498,4647
856,2024,Tamil Nadu,247,398,280,264,318,27,29,95,187,3,0.99,223280,14262
857,2024,Telangana,108,337,1145,147,219,30,49,232,664,0,1.37,408809,17732
858,2023,Karnataka,44,851,960,186,139,10,40,67,441,0,1.88,43607,6305
859,2022,Kerala,254,869,845,501,110,26,30,231,662,4,0.19,449668,9021
860,2021,Kerala,1,172,239,670,28,41,43,233,79,5,0.79,194167,16602
861,2020,Punjab,88,110,602,773,25,22,25,150,313,4,1.38,379752,4630
862,2024,Rajasthan,264,47,713,273,70,0,41,71,102,4,0.54,92518,1712
863,2020,Gujarat,17,112,397,181,109,33,33,148,580,0,0.34,261285,11670
864,2022,Karnataka,250,878,806,318,219,9,3,487,536,5,0.9,317211,6446
865,2020,Delhi,144,865,824,500,299,7,34,644,374,3,1.16,57435,13839
866,2024,Delhi,239,397,937,48,70,28,50,419,490,3,1.58,499115,12506
867,2021,Tamil Nadu,126,853,565,224,151,36,14,85,156,1,1.78,189383,13593
868,2022,Punjab,181,836,442,656,215,19,28,90,524,5,0.81,195079,12782
869,2024,Uttar Pradesh,248,824,814,30,84,33,10,98,555,4,1.61,414907,1885
870,2021,Delhi,89,832,505,216,53,48,28,695,74,2,0.97,66639,4125
871,2023,Gujarat,238,723,1119,672,330,37,18,510,176,2,1.08,374771,6956
872,2024,Punjab,160,851,266,4,260,1,46,133,321,1,0.81,495665,17290
873,2023,Punjab,224,822,228,274,212,41,45,553,83,2,1.94,433314,13599
874,2020,Kerala,84,878,390,650,222,2,27,564,169,4,1.49,106970,6286
875,2023,Delhi,141,816,920,620,8,13,26,133,264,3,1.05,76642,8197
876,2021,Maharashtra,254,351,879,59,187,14,40,318,523,4,1.91,155231,4257
877,2020,Kerala,68,832,767,21,283,1,35,593,303,0,1.01,458354,11540
878,2020,Tamil Nadu,2,675,179,343,50,40,27,300,141,5,1.26,159848,7700
879,2023,Uttar Pradesh,105,350,148,559,302,13,20,648,685,4,1.69,339849,4322
880,2021,Karnataka,153,165,133,35,293,37,38,521,185,3,1.07,67295,8894
881,2021,Uttar Pradesh,170,508,220,530,371,50,5,558,417,5,1.02,109565,2706
882,2020,Delhi,173,588,938,29,337,40,11,175,192,3,1.21,479988,4543
883,2021,Tamil Nadu,240,211,769,336,198,40,40,95,134,1,0.82,199689,18365
884,2020,Rajasthan,276,375,549,138,88,1,43,41,519,5,0.63,209634,1110
885,2022,Uttar Pradesh,83,685,246,688,52,41,49,700,380,5,1.08,171185,4281
886,2024,Telangana,44,433,5,499,320,29,42,100,49,1,0.16,42517,4426
887,2022,Karnataka,10,949,430,561,217,28,14,687,685,2,0.39,365388,3694
888,2020,Rajasthan,12,40,681,28,117,39,8,145,664,1,0.25,240099,4521
889,2022,Karnataka,97,381,484,384,260,42,35,436,234,1,1.64,285015,19494
890,2021,Telangana,262,356,1079,243,125,39,18,213,642,5,0.26,40368,1215
891,2024,Delhi,290,957,1022,540,190,2,40,38,588,2,0.17,436688,8337
892,2024,Rajasthan,187,204,889,514,271,2,10,540,644,3,1.11,120130,1757
893,2024,Uttar Pradesh,46,605,1193,0,350,15,36,318,481,0,1.18,245270,18831
894,2021,Tamil Nadu,158,276,977,45,188,17,43,30,81,3,0.36,261256,3523
895,2020,Maharashtra,39,954,7,290,324,50,40,114,120,5,1.33,206021,13767
896,2024,Delhi,276,506,411,117,384,7,7,162,72,4,0.55,242533,19050
897,2023,Kerala,77,475,480,337,267,13,39,413,146,3,1.7,77516,14064
898,2022,Delhi,216,278,52,191,0,42,25,658,420,2,0.38,187700,14714
899,2020,Telangana,114,306,519,787,322,19,46,117,477,3,1.41,134581,6957
900,2022,Karnataka,275,868,125,184,17,28,17,576,426,4,1.35,14145,5415
901,2023,Karnataka,254,479,432,304,247,23,50,292,352,3,0.83,456159,9823
902,2024,Tamil Nadu,46,72,691,300,210,31,3,293,330,2,0.87,128707,4916
903,2022,Telangana,200,158,1073,90,215,7,27,376,324,2,1.93,362868,5759
904,2020,Uttar Pradesh,249,385,427,707,391,1,13,299,276,4,1.57,438651,10428
905,2020,Uttar Pradesh,204,570,1074,473,162,37,4,282,256,5,1.17,292700,19874
906,2023,Tamil Nadu,141,892,350,35,242,34,32,315,277,2,1.7,287937,8937
907,2024,Maharashtra,93,531,774,267,39,16,48,65,626,0,1.14,163983,11568
908,2023,Telangana,68,985,217,503,67,46,50,444,479,3,0.44,446895,18962
909,2023,Rajasthan,254,86,1166,162,211,9,25,606,199,5,0.29,233043,3547
910,2024,Rajasthan,217,946,95,35,374,23,1,127,579,1,1.18,310112,18410
911,2022,Kerala,234,751,1136,254,186,22,27,445,5,0,0.19,219194,2774
912,2020,Punjab,8,647,1100,782,274,47,25,32,284,2,0.73,77422,10663
913,2022,Maharashtra,276,865,458,121,179,1,19,423,228,2,0.15,379938,2202
914,2023,Kerala,298,841,1027,475,338,44,35,499,128,0,1.34,340723,19187
915,2021,Punjab,299,898,252,479,102,5,22,665,157,2,1.07,33636,6195
916,2020,Kerala,194,94,121,787,44,22,23,498,227,5,0.76,223610,17450
917,2021,Uttar Pradesh,264,385,775,376,392,4,47,179,307,1,0.99,175793,5566
918,2024,Telangana,160,308,632,83,188,40,17,178,634,5,1.43,194047,11807
919,2021,Kerala,248,578,992,18,52,11,6,166,675,2,1.03,291487,15113
920,2020,Kerala,10,852,974,221,125,10,14,230,499,2,0.43,398141,17912
921,2024,Delhi,223,378,209,481,120,43,7,516,101,3,1.08,209280,17973
922,2020,Gujarat,225,201,349,704,337,19,29,59,174,5,1.23,92749,9348
923,2020,Kerala,62,944,915,515,229,25,22,147,392,3,0.48,217527,17611
924,2023,Kerala,92,744,823,215,317,46,42,490,16,1,1.24,147076,12366
925,2022,Uttar Pradesh,226,338,761,283,268,14,46,301,337,5,1.89,498029,9584
926,2023,Uttar Pradesh,284,296,137,732,393,28,37,378,60,0,1.45,273318,13481
927,2024,Kerala,119,458,905,255,262,12,12,512,202,5,1.83,67094,17020
928,2021,Delhi,216,383,803,758,74,19,39,619,669,2,0.98,322243,11472
929,2022,Rajasthan,95,611,377,681,374,2,10,621,329,1,1.55,20708,7767
930,2022,Tamil Nadu,167,674,1124,531,170,44,16,605,557,0,0.55,42988,13829
931,2024,Rajasthan,238,71,716,245,138,36,39,476,356,5,1.49,98638,16416
932,2024,Tamil Nadu,292,86,350,273,263,13,17,366,193,5,1.59,443411,8454
933,2022,Kerala,63,345,121,526,356,30,21,204,686,1,0.92,152634,16404
934,2022,Uttar Pradesh,275,643,432,206,136,29,49,195,184,4,0.13,125240,15933
935,2022,Karnataka,164,617,94,344,379,32,36,444,125,0,1.97,82162,6249
936,2023,Karnataka,238,163,207,555,282,26,40,302,548,1,1.33,190903,7727
937,2020,Uttar Pradesh,88,734,379,756,175,46,10,334,286,5,1.3,424932,13902
938,2021,Delhi,226,972,108,670,76,36,38,107,548,2,1.1,378867,12301
939,2024,Kerala,254,212,708,642,208,22,22,676,294,0,0.37,403693,18541
940,2020,Karnataka,244,681,1142,3,231,1,41,332,359,2,0.66,44886,1294
941,2024,Gujarat,115,226,934,80,291,18,6,117,448,4,1.72,354535,228
942,2020,Tamil Nadu,146,905,1103,710,47,31,22,677,613,3,0.25,483377,2944
943,2021,Punjab,295,211,775,690,52,50,16,87,552,4,0.45,303278,4753
944,2021,Uttar Pradesh,166,391,854,670,217,14,28,628,598,3,1.85,323330,15921
945,2022,Tamil Nadu,194,160,639,486,346,48,11,652,623,4,1.27,474469,11780
946,2024,Kerala,61,206,417,257,320,17,36,567,489,4,1.42,232383,7665
947,2023,Telangana,282,480,614,744,92,47,30,152,423,3,0.44,477945,507
948,2020,Gujarat,6,729,621,429,145,24,35,477,573,2,0.15,243815,9418
949,2023,Delhi,148,619,446,785,357,50,47,619,654,3,0.91,42501,13198
950,2020,Tamil Nadu,39,127,1094,430,293,40,48,25,587,5,1.38,266768,9554
951,2024,Uttar Pradesh,281,262,74,663,298,21,8,392,353,1,1.07,438876,199
952,2020,Kerala,19,807,166,372,318,37,24,621,650,0,1.31,199477,10417
953,2021,Gujarat,32,394,677,453,128,39,7,93,201,1,0.37,47220,4632
954,2020,Punjab,47,608,483,360,66,17,48,458,365,2,1.64,437052,4418
955,2024,Karnataka,223,629,432,65,286,6,27,430,381,1,1.62,403430,5814
956,2024,Kerala,29,360,206,85,69,15,6,2,461,1,0.26,32654,7621
957,2020,Delhi,90,566,64,314,242,18,31,245,25,4,0.79,111403,13895
958,2023,Telangana,189,331,691,123,203,1,29,577,11,2,1.28,108831,11181
959,2022,Uttar Pradesh,112,32,462,287,162,40,10,155,357,3,0.74,164175,7161
960,2022,Kerala,225,810,776,649,395,14,41,237,523,3,1.44,441721,13381
961,2022,Telangana,50,693,53,756,102,47,41,383,563,2,0.75,384723,3076
962,2020,Kerala,264,696,22,27,176,36,34,497,167,4,1.8,85783,8482
963,2024,Kerala,12,984,1092,96,93,44,32,120,297,2,0.71,215388,19490
964,2020,Rajasthan,66,617,179,557,266,1,36,512,408,4,0.15,478380,1275
965,2021,Telangana,136,387,1066,182,334,31,5,438,95,4,1.94,207789,15675
966,2020,Karnataka,261,898,4,271,390,28,19,42,394,4,0.48,414027,12175
967,2020,Punjab,105,442,342,431,171,39,37,48,89,2,0.72,321910,12488
968,2020,Gujarat,36,580,606,241,167,5,17,536,236,0,1.67,6643,7944
969,2024,Punjab,200,619,1198,422,211,10,11,653,415,3,0.41,81700,19005
970,2022,Tamil Nadu,154,356,1166,472,138,11,0,51,530,3,1.1,11773,11410
971,2020,Kerala,90,968,1152,510,7,36,0,622,537,1,1.26,414387,2764
972,2024,Kerala,275,940,812,132,376,37,13,138,395,3,1.53,80250,18664
973,2024,Gujarat,139,280,1001,33,13,33,47,134,565,0,1.58,124586,11890
974,2021,Telangana,161,419,680,244,118,22,33,459,313,1,0.84,28707,3500
975,2024,Telangana,129,528,444,779,51,35,24,434,529,3,0.87,61278,1789
976,2024,Punjab,84,398,162,138,214,32,43,52,327,5,0.55,182967,331
977,2024,Punjab,69,982,195,257,253,43,0,16,80,2,0.6,105372,16002
978,2022,Gujarat,286,940,413,731,319,3,28,542,531,5,0.96,150099,16747
979,2020,Maharashtra,251,130,230,636,336,12,12,298,128,1,0.43,450935,14804
980,2021,Telangana,5,920,1026,452,288,48,32,220,676,0,0.71,7414,15295
981,2020,Maharashtra,91,702,466,100,175,0,40,210,94,1,0.32,234628,6491
